MA_KENH_BAN,MA_SAN_PHAM,GIA,VAT,AP_DUNG_TU,NGUON
DC0001,BTBD303001,30515.0,,2023-07-17 00:00:00,V1
DC0001,BTBD303002,30515.0,,2023-07-17 00:00:00,V1
DC0001,21MUTLA200,38000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTBD303003,30515.0,,2023-07-17 00:00:00,V1
DC0001,BTBD304001,31535.0,,2023-07-17 00:00:00,V1
DC0001,BTBD304002,31535.0,,2023-07-17 00:00:00,V1
DC0001,BTBD304003,31535.0,,2023-07-17 00:00:00,V1
DC0001,BTBD404001,14790.0,,2023-07-17 00:00:00,V1
DC0001,BTBD404002,14790.0,,2023-07-17 00:00:00,V1
DC0001,BTBD404003,14790.0,,2023-07-17 00:00:00,V1
DC0001,BTBD503001,61965.0,,2023-07-17 00:00:00,V1
DC0001,BTBD503002,61965.0,,2023-07-17 00:00:00,V1
DC0001,BTBD503003,61965.0,,2023-07-17 00:00:00,V1
DC0001,BTBD605001,12325.0,,2023-07-17 00:00:00,V1
DC0001,BTBD605002,12325.0,,2023-07-17 00:00:00,V1
DC0001,BTBD605003,12325.0,,2023-07-17 00:00:00,V1
DC0001,21MUTSE200,55000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21MUTTC200,45000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21MUTTC250,57000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21NHOKH200,46000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21NHOKH300,112000.0,10.0,2021-02-19 00:00:00,V2
DC0001,21NOORI375,30000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21PEPFA376,245000.0,10.0,2020-12-16 00:00:00,V2
